OFFER_DATE,GENDER,AGE_GROUP,ESTABLISHED_YEAR,REGION,INDUSTRY_CD,INDUSTRY_NM,EMPLOYEE_NUM
202208,남성,30대,2019,충청북도 충주시,85,교육 서비스업,0명
202208,남성,60대,2021,충청북도 충주시,25,금속가공제품 제조업; 기계 및 가구 제외,1명 이상 5명 미만
202208,남성,40대,2011,충청북도 충주시,46,도매 및 상품 중개업,1명 이상 5명 미만
202208,남성,30대,2020,충청북도 충주시,47,소매업; 자동차 제외,1명 이상 5명 미만
202208,남성,50대,2002,충청북도 충주시,95,개인 및 소비용품 수리업,0명
202208,남성,50대,2006,충청북도 충주시,47,소매업; 자동차 제외,0명
202208,남성,60대,2009,충청북도 충주시,46,도매 및 상품 중개업,0명
202208,남성,50대,1993,충청북도 충주시,46,도매 및 상품 중개업,1명 이상 5명 미만
202208,남성,40대,2021,충청북도 충주시,86,보건업,5명 이상 10명 미만
202208,남성,50대,1992,충청북도 충주시,46,도매 및 상품 중개업,1명 이상 5명 미만
202208,남성,50대,1996,충청북도 충주시,47,소매업; 자동차 제외,1명 이상 5명 미만
202208,남성,60대,1992,충청북도 충주시,47,소매업; 자동차 제외,1명 이상 5명 미만
202208,남성,30대,2017,충청북도 충주시,47,소매업; 자동차 제외,0명
202208,남성,50대,2018,충청북도 충주시,42,전문직별 공사업,1명 이상 5명 미만
202208,남성,30대,2017,충청북도 충주시,45,자동차 및 부품 판매업,1명 이상 5명 미만
202208,여성,50대,2015,충청북도 충주시,91,스포츠 및 오락관련 서비스업,1명 이상 5명 미만
202208,남성,50대,2019,충청북도 충주시,42,전문직별 공사업,1명 이상 5명 미만
202208,여성,60대,2013,충청북도 충주시,47,소매업; 자동차 제외,1명 이상 5명 미만
202208,남성,50대,2003,충청북도 충주시,76,임대업; 부동산 제외,0명
202208,남성,50대,2005,충청북도 충주시,47,소매업; 자동차 제외,1명 이상 5명 미만
202208,남성,30대,2022,충청북도 충주시,86,보건업,0명
202208,남성,60대,2014,충청북도 충주시,46,도매 및 상품 중개업,1명 이상 5명 미만
202208,남성,40대,2017,충청북도 충주시,49,육상 운송 및 파이프라인 운송업,1명 이상 5명 미만
202208,남성,30대,2019,충청북도 충주시,47,소매업; 자동차 제외,1명 이상 5명 미만
202208,여성,50대,2019,충청북도 충주시,91,스포츠 및 오락관련 서비스업,1명 이상 5명 미만
202208,남성,40대,2022,충청북도 충주시,86,보건업,0명
