region_cd,region_nm,research_date,buy_dom_indices,level_no
11A01,강북지역,20230612,85.137916838205,1
42000,강원,20230612,85.1735015772871,0
41000,경기,20230612,85.4204442429737,0
48000,경남,20230612,90.0129143349118,0
41A02,경부1권,20230612,86.3540937718684,1
41A03,경부2권,20230612,91.9732441471572,1
47000,경북,20230612,94.0721649484536,0
41A05,경원권,20230612,84.4752186588921,1
41A04,경의권,20230612,71.2155108128263,1
29000,광주,20230612,88.3682008368201,0
27000,대구,20230612,81.993006993007,0
30000,대전,20230612,77.6140684410646,0
11A11,도심권,20230612,84.3648208469056,2
11A15,동남권,20230612,88.9092575618699,2
41A06,동부1권,20230612,83.4525025536262,1
41A07,동부2권,20230612,80.7203389830509,1
26A01,동부산권,20230612,85.6960408684546,1
11A12,동북권,20230612,87.7925363693865,2
26000,부산,20230612,85.0196850393701,0
11A14,서남권,20230612,80.4577464788732,2
26A03,서부산권,20230612,79.5735900962861,1
11A13,서북권,20230612,77.818853974122,2
11000,서울,20230612,84.6255060728745,0
41A01,서해안권,20230612,89.5082662144977,1
36000,세종,20230612,98.1707317073171,0
A2000,수도권,20230612,85.3189731859194,0
31000,울산,20230612,76.9850402761795,0
28000,인천,20230612,86.6008105369807,0
A1000,전국,20230612,86.1519756838906,0
46000,전남,20230612,86.117381489842,0
45000,전북,20230612,81.1885612153709,0
50000,제주,20230612,79.4685990338164,0
26A02,중부산권,20230612,88.3495145631068,1
A2001,지방권,20230612,86.9158606223051,0
44000,충남,20230612,97.0351390922401,0
43000,충북,20230612,91.1153119092628,0
A5000,5대광역시,20230605,81.7552902875746,0
A3000,6대광역시,20230605,82.5754333404665,0
A6000,8개도,20230605,89.0298034242232,0
A9000,9개도,20230605,87.1130919829377,0
11A02,강남지역,20230605,82.6363998407009,1
11A01,강북지역,20230605,85.3025936599424,1
42000,강원,20230605,84.384858044164,0
41000,경기,20230605,85.0577969174977,0
48000,경남,20230605,90.0559621179509,0
41A02,경부1권,20230605,87.2988103568929,1
41A03,경부2권,20230605,90.5518394648829,1
47000,경북,20230605,92.9123711340206,0
41A05,경원권,20230605,84.402332361516,1
41A04,경의권,20230605,70.5070842654735,1
29000,광주,20230605,88.9121338912134,0
27000,대구,20230605,80.1282051282051,0
30000,대전,20230605,76.8060836501901,0
11A11,도심권,20230605,84.2019543973941,2
11A15,동남권,20230605,87.3052245646196,2
41A06,동부1권,20230605,82.5842696629213,1
41A07,동부2권,20230605,78.1779661016949,1
26A01,동부산권,20230605,84.0357598978289,1
11A12,동북권,20230605,87.887413029728,2
26000,부산,20230605,83.3464566929134,0
11A14,서남권,20230605,79.0492957746479,2
26A03,서부산권,20230605,77.2352132049519,1
