region_cd,region_nm,research_date,apt_type,price_gbn,rate,level_no
47113,북구,202306,1,A,84.63252516364315,2
41480,파주시,202306,1,A,69.644569389526,2
46130,여수시,202306,1,M,68.66388241388242,1
A3000,6대광역시,202306,0,M,64.57342004216768,0
48121,의창구,202306,1,M,76.04562737642586,2
31170,동구,202306,1,M,72.528125,1
26260,동래구,202306,1,M,60.681114551083596,2
11A12,동북권,202306,0,M,57.854075070082565,2
26380,사하구,202306,1,M,70.49180327868852,2
11A13,서북권,202306,7,M,44.587871145248194,2
11A14,서남권,202306,0,M,57.99382430406867,2
A2000,수도권,202306,1,M,58.84396694330426,0
41111,장안구,202306,1,M,61.79120496146626,3
28140,동구,202306,1,M,76.80722891566265,1
11710,송파구,202306,1,M,47.08371165713668,3
36000,세종,202306,7,M,39.18859649122807,0
11500,강서구,202306,1,M,52.56034124011653,3
36000,세종,202306,0,M,42.18808031526098,0
43110,청주시,202306,1,M,80.13821894533154,1
47110,포항시,202306,1,M,84.17016740623986,1
41171,만안구,202306,1,M,63.017031630170315,3
A2001,지방권,202302,3,M,65.48045127339454,0
A2000,수도권,202302,3,M,68.87495739100544,0
11290,성북구,202302,1,M,57.3909310143233,3
26A01,동부산권,202302,7,M,43.17548746518106,1
27000,대구,202302,0,AD,12.630624693342188,0
43000,충북,202302,3,AD,12.054028272034985,0
44130,천안시,202302,1,AD,12.355809888100785,1
28185,연수구,202302,1,AD,18.213780793834687,1
26A03,서부산권,202302,1,AD,17.98037196485483,1
11A02,강남지역,202302,3,AD,23.13052074675199,1
48000,경남,202302,7,AD,28.48199821187502,0
46000,전남,202302,3,AD,15.950844759604296,0
28000,인천,202302,1,AD,14.14800493234707,0
41A03,경부2권,202302,1,AD,19.257636698821706,1
26A02,중부산권,202302,0,AD,22.34878529917984,1
43113,흥덕구,202302,1,AD,10.214025559764195,2
46840,무안군,202302,1,AD,13.37632411295589,1
11A13,서북권,202302,0,AD,28.932888447913662,2
41410,군포시,202302,1,AD,18.60231339730074,2
11A13,서북권,202302,3,AD,22.933173957799283,2
A2001,지방권,202302,1,AD,16.286085278672978,0
48121,의창구,202302,1,AD,31.31114817390045,2
11545,금천구,202302,1,AD,22.67225128636632,3
11440,마포구,202302,1,AD,34.198207624323516,3
31110,중구,202302,1,AD,21.217328900579105,1
41A06,동부1권,202302,1,AD,25.321469760481946,1
11A12,동북권,202302,7,AD,28.47044899893088,2
44200,아산시,202302,1,AD,9.900016343987044,1
46150,순천시,202305,1,M,79.43262411347519,1
26A02,중부산권,202305,3,M,62.60032102728732,1
41131,수정구,202305,1,M,54.493580599144074,3
41190,부천시,202305,1,M,61.46374173255489,2
28110,중구,202305,1,M,57.28357746260559,1
29200,광산구,202305,1,M,75.80152671755725,1
46110,목포시,202305,1,M,85.1063829787234,1
44800,홍성군,202305,1,M,69.79032127865676,1
41A05,경원권,202305,3,M,70.08931839812578,1
44150,공주시,202305,1,M,70.0154939158038,1
11000,서울,202305,0,M,57.31260317372849,0
41113,권선구,202305,1,M,63.08539944903582,3
11530,구로구,202305,1,M,57.220666044195454,3
28000,인천,202305,1,M,63.628427518330696,0
41A04,경의권,202305,7,M,49.80988593155893,1
41A07,동부2권,202305,0,M,67.45121169810356,1
26410,금정구,202305,1,M,65.06024096385542,2
A9000,9개도,202305,1,M,70.04024009741339,0
27140,동구,202305,1,M,69.43699731903486,1
30200,유성구,202305,1,M,66.30439005439005,1
26200,영도구,202305,1,M,67.96757127461545,2
45000,전북,202305,3,M,67.72763900080581,0
43770,음성군,202305,1,M,70.35714285714286,1
45210,김제시,202305,1,M,71.03218645948945,1
48129,진해구,202305,1,M,75.38940809968847,2
43150,제천시,202305,1,M,73.26732673267327,1
11A02,강남지역,202305,1,M,50.63343806220837,1
43000,충북,202305,1,M,78.71552345941114,0
A2001,지방권,202305,3,M,65.69816088142815,0
41280,고양시,202305,1,M,61.84407181881495,2
41131,수정구,202306,1,M,55.46218487394958,3
28000,인천,202306,7,M,49.14148857774503,0
29200,광산구,202306,1,M,76.4423076923077,1
44800,홍성군,202306,1,M,70.3688811188811,1
47113,북구,202306,1,M,86.66666666666667,2
27710,달성군,202306,1,M,72.1590909090909,1
45111,완산구,202306,1,M,81.23044838373306,2
26350,해운대구,202306,1,M,50.772609366794505,2
47230,영천시,202306,1,M,75.58368597694441,1
45180,정읍시,202306,1,M,69.33507422989507,1
44000,충남,202306,7,M,44.93050184755521,0
28000,인천,202306,1,M,63.1935776063487,0
41A07,동부2권,202306,0,M,67.2218989789672,1
46000,전남,202306,7,M,47.86516853932584,0
48125,마산합포구,202306,1,M,80.13421234245033,2
43770,음성군,202306,1,M,70.35714285714286,1
28000,인천,202306,0,M,64.24846998140224,0
11140,중구,202306,1,M,57.68728963955694,3
26320,북구,202306,1,M,70.99143206854346,2
48170,진주시,202306,1,M,79.36117936117935,1
A1000,전국,202306,1,M,66.24591567699404,0
41A01,서해안권,202302,3,AD,17.46167874040957,1
44150,공주시,202302,1,AD,13.811279307261252,1
A3000,6대광역시,202302,7,AD,23.817280979531542,0
41A02,경부1권,202302,1,AD,25.095378484321675,1
A3000,6대광역시,202302,3,AD,16.873595842130694,0
31140,남구,202302,1,AD,15.27543563756914,1
26A01,동부산권,202302,0,AD,20.891629046113678,1
45180,정읍시,202302,1,AD,19.93760499281682,1
11320,도봉구,202302,1,AD,19.743343476325194,3
26A03,서부산권,202302,7,AD,26.2830159782238,1
11A02,강남지역,202302,7,AD,30.958553979061126,1
43770,음성군,202302,1,AD,11.913106375845611,1
41500,이천시,202302,1,AD,11.037666242641011,2
A2001,지방권,202302,0,AD,17.405158891593693,0
26500,수영구,202302,1,AD,16.116783854540827,2
30000,대전,202302,0,AD,20.08199808871774,0
11380,은평구,202302,1,AD,39.096399513679046,3
41A05,경원권,202302,7,AD,19.76200469179563,1
48170,진주시,202302,1,AD,25.47201513158166,1
47250,상주시,202302,1,AD,10.365512739764473,1
11A01,강북지역,202302,3,AD,22.65070245992404,1
11500,강서구,202302,1,AD,44.06236368664926,3
11290,성북구,202305,1,M,57.38641002991456,3
26000,부산,202305,3,AD,22.731732994716,0
26320,북구,202305,1,AD,18.63290108077933,2
26A03,서부산권,202305,1,AD,18.427795413317334,1
44131,동남구,202305,1,AD,12.027643398941448,2
42110,춘천시,202305,1,AD,10.379927065667868,1
42190,태백시,202305,1,AD,21.17778213617698,1
41A01,서해안권,202305,7,AD,27.20652186086588,1
11A01,강북지역,202305,1,AD,27.986448487287568,1
28237,부평구,202305,1,AD,14.356506380317754,1
