region_cd,region_nm,research_date,apt_type,age_gbn,tr_gbn,indices,level_no
26000,부산,202306,1,13,D,84.00990093704424,0
26A01,동부산권,202306,1,13,D,82.70045247313749,1
26A02,중부산권,202306,1,13,D,82.07015141066034,1
26A03,서부산권,202306,1,13,D,89.62824014013016,1
27000,대구,202306,1,13,D,72.52908273447586,0
28000,인천,202306,1,13,D,76.31623951972108,0
29000,광주,202306,1,13,D,93.62093900875429,0
30000,대전,202306,1,13,D,86.26622730547619,0
31000,울산,202306,1,13,D,89.22191612645716,0
36000,세종,202306,1,13,D,72.1068511187465,0
41000,경기,202306,1,13,D,82.4158439522473,0
41A01,서해안권,202306,1,13,D,82.25259397996564,1
41A02,경부1권,202306,1,13,D,86.61404967742658,1
41A03,경부2권,202306,1,13,D,82.93694304039867,1
41A04,경의권,202306,1,13,D,82.84497833794443,1
41A05,경원권,202306,1,13,D,73.78575351667143,1
41A06,동부1권,202306,1,13,D,80.40766415660251,1
41A07,동부2권,202306,1,13,D,101.52835457311281,1
42000,강원,202306,1,13,D,99.23446107693896,0
43000,충북,202306,1,13,D,97.74330217609037,0
44000,충남,202306,1,13,D,92.7446659069009,0
45000,전북,202306,1,13,D,95.40730549546689,0
46000,전남,202306,1,13,D,94.24518963932005,0
47000,경북,202306,1,13,D,97.43937912868597,0
48000,경남,202306,1,13,D,95.89170452818223,0
50000,제주,202306,1,13,D,108.76753554076302,0
A1000,전국,202306,1,13,D,86.05801889819391,0
A2000,수도권,202306,1,13,D,82.65504154070979,0
A2001,지방권,202306,1,13,D,89.52171412055338,0
A3000,6대광역시,202306,1,13,D,81.47184960873808,0
A5000,5대광역시,202306,1,13,D,82.87545616676636,0
A6000,8개도,202306,1,13,D,96.00115048515603,0
A9000,9개도,202306,1,13,D,88.82841541196376,0
11000,서울,202306,1,13,R,100.65940073996634,0
11A01,강북지역,202306,1,13,R,101.03108873978117,1
11A02,강남지역,202306,1,13,R,100.47603740822771,1
11A11,도심권,202306,1,13,R,99.4649726994896,2
11A12,동북권,202306,1,13,R,101.90615010687308,2
11A13,서북권,202306,1,13,R,100.0949044826888,2
11A14,서남권,202306,1,13,R,100.76337712077198,2
11A15,동남권,202306,1,13,R,100.22076916060367,2
26000,부산,202306,1,13,R,103.35313458781296,0
26A01,동부산권,202306,1,13,R,105.07952202988574,1
26A02,중부산권,202306,1,13,R,100.50627161047596,1
26A03,서부산권,202306,1,13,R,105.00443824705555,1
27000,대구,202306,1,13,R,92.20030388618638,0
28000,인천,202306,1,13,R,101.6351310745575,0
29000,광주,202306,1,13,R,99.43112841898069,0
30000,대전,202306,1,13,R,102.38787082799958,0
31000,울산,202306,1,13,R,109.26466708795337,0
36000,세종,202306,1,13,R,94.36205732577422,0
41000,경기,202306,1,13,R,100.9518644497046,0
41A01,서해안권,202306,1,13,R,102.60307735949804,1
41A02,경부1권,202306,1,13,R,99.3219002676668,1
41A03,경부2권,202306,1,13,R,102.15164316684167,1
41A04,경의권,202306,1,13,R,99.413474119216,1
41A05,경원권,202306,1,13,R,94.96979432099847,1
41A06,동부1권,202306,1,13,R,100.39841641637935,1
41A07,동부2권,202306,1,13,R,106.46242860412607,1
42000,강원,202306,1,13,R,102.43887870787408,0
43000,충북,202306,1,13,R,107.11519319881776,0
44000,충남,202306,1,13,R,103.03951831118925,0
45000,전북,202306,1,13,R,103.33402313460412,0
46000,전남,202306,1,13,R,99.97914101934293,0
47000,경북,202306,1,13,R,104.29643070973759,0
48000,경남,202306,1,13,R,105.02884696743591,0
50000,제주,202306,1,13,R,111.32230125069599,0
A1000,전국,202306,1,13,R,101.42909662883172,0
A2000,수도권,202306,1,13,R,100.86524304878164,0
A2001,지방권,202306,1,13,R,102.0079336037123,0
A3000,6대광역시,202306,1,13,R,100.16699101303966,0
A5000,5대광역시,202306,1,13,R,99.83995047696368,0
A6000,8개도,202306,1,13,R,104.03016277752478,0
A9000,9개도,202306,1,13,R,102.42523806323692,0
11000,서울,202306,1,13,S,94.45273359413022,0
11A01,강북지역,202306,1,13,S,91.62046941548724,1
11A02,강남지역,202306,1,13,S,96.8610884873504,1
11A11,도심권,202306,1,13,S,93.39379106449242,2
