region_cd,region_nm,research_date,apt_type,tr_gbn,bunwi1,bunwi2,bunwi3,bunwi4,bunwi5,rate,level_no
11000,서울,202212,1,S,410624.8076923077,681228.8461538461,891547.5504322767,1219373.076923077,2134317.963496638,5.1977326345463775,0
11000,서울,202208,0,D,150215.94105827194,293070.86403215,454873.4092431346,630941.0582719357,1108481.2583668006,7.379251832778501,0
A1000,전국,202209,0,D,48819.07299111978,121882.99545159194,212639.8635477583,329726.36993718863,650261.8475200346,13.319831936143434,0
A1000,전국,202210,0,D,48813.470868529344,121471.70565302145,210009.64912280702,323090.0801386181,640155.5122373836,13.114320716130429,0
A1000,전국,202210,1,D,74234.92857142857,161876.8142857143,252339.35714285713,361367.5,683403.7142857143,9.205959073943822,0
11000,서울,202207,0,D,150237.84326858673,293435.90087073005,455806.43000669795,633527.7963831213,1110845.7161981259,7.393914156583163,0
A1000,전국,202207,0,D,48724.72417153996,121977.2590426684,214791.16309291747,336841.34719514835,659242.4193199046,13.52993640351826,0
A1000,전국,202211,0,S,74356.56811782543,171870.40285899935,298487.55685510073,499226.2616417587,1116839.5688758935,15.020052661738628,0
11000,서울,202208,0,S,221284.79571332887,504112.3911587408,787556.5304755525,1135306.7649028802,2078919.6787148595,9.394769631656342,0
A1000,전국,202208,0,D,48779.0094217024,122030.90859865713,214087.069525666,333791.921160927,656112.6272471301,13.450716507482362,0
11000,서울,202209,0,S,220871.60080375083,500958.0040187542,782020.0267916946,1126669.1225720027,2068406.2918340026,9.364745328539662,0
11000,서울,202210,0,S,220218.6202277294,496174.34695244476,773093.703951775,1112404.5545880776,2047995.9839357429,9.299831148782506,0
A1000,전국,202210,0,S,74767.21680745072,173672.89365388782,303700,512079.5105046567,1140383.918128655,15.252459123435141,0
11000,서울,202210,0,D,149275.61955793703,289605.8941728064,445972.8734092431,616948.0910917616,1085201.4725568942,7.269783744797686,0
A1000,전국,202207,1,D,74229.9857142857,163832.5285714286,262055.8,377882.4285714286,704664.5,9.492989837183627,0
A1000,전국,202211,0,D,48707.189733593244,120553.60948667966,205645.0075806801,313109.1509638293,621938.2066276803,12.76891994856215,0
11000,서울,202211,1,D,239095.76923076922,405328.8461538461,523027.8578290106,676706.7307692308,1150917.3871277617,4.813625062587056,0
A1000,전국,202212,1,S,98177.22857142857,209799.5285714286,343311.77142857143,539893.2857142857,1149467.857142857,11.708090296178659,0
11000,서울,202212,0,S,216521.165438714,476467.180174146,736435.3650368386,1058087.7427997321,1973277.7777777778,9.113556052497376,0
A1000,전국,202208,1,D,74337.04285714286,163698.1,260128.85714285713,374300.64285714284,701262.8571428572,9.433558696846584,0
11000,서울,202209,1,D,246560.76923076922,424199.03846153844,549863.5926993276,709947.1153846154,1200305.3794428434,4.868192872643962,0
A1000,전국,202208,1,S,101182.68571428572,221102.75714285715,372327.5714285714,595682.5714285715,1243713.4285714286,12.29176137984082,0
11000,서울,202207,0,S,221401.87541862024,505753.04755525786,791432.6188881447,1140289.3503014066,2083218.2061579651,9.409216621219114,0
A1000,전국,202212,0,D,48458.69720597791,118754.49642625081,199073.9116309292,299287.7084687026,594343.7784275503,12.264955780821765,0
