region_cd,region_nm,research_date,apt_type,buy_dom_indices,level_no
A2000,수도권,202305,0,83.94219189080691,0
A2001,지방권,202305,0,86.90165186286725,0
A3000,6대광역시,202305,0,82.8198679660484,0
A5000,5대광역시,202305,0,82.32227958697379,0
A6000,8개도,202305,0,89.68819910514542,0
A9000,9개도,202305,0,87.27338102267136,0
11000,서울,202305,1,82.74831964152352,0
11A01,강북지역,202305,1,84.21952145841247,1
11A02,강남지역,202305,1,81.3257436650753,1
11A11,도심권,202305,1,82.88288288288288,2
11A12,동북권,202305,1,86.77758318739053,2
11A13,서북권,202305,1,77.51277683134582,2
11A14,서남권,202305,1,78.00519818063677,2
11A15,동남권,202305,1,85.64189189189189,2
26000,부산,202305,1,82.39462209302326,0
26A01,동부산권,202305,1,81.86101295641932,1
26A02,중부산권,202305,1,85.78475336322869,1
26A03,서부산권,202305,1,78.1725888324873,1
27000,대구,202305,1,79.78494623655915,0
28000,인천,202305,1,83.97196261682244,0
29000,광주,202305,1,87.49034749034749,0
30000,대전,202305,1,78.0017528483786,0
31000,울산,202305,1,76.06157112526539,0
36000,세종,202305,1,99.43661971830986,0
41000,경기,202305,1,84.5423233482935,0
41A01,서해안권,202305,1,88.89323425889715,1
41A02,경부1권,202305,1,87.5968992248062,1
41A03,경부2권,202305,1,90.0771208226221,1
41A04,경의권,202305,1,70.58419243986253,1
41A05,경원권,202305,1,81.266846361186,1
41A06,동부1권,202305,1,83.31762488218662,1
41A07,동부2권,202305,1,75.0915750915751,1
42000,강원,202305,1,85.89973142345568,0
43000,충북,202305,1,89.4648829431438,0
44000,충남,202305,1,93.65821094793057,0
45000,전북,202305,1,80.2166934189406,0
46000,전남,202305,1,86.64085188770571,0
47000,경북,202305,1,91.46556798116539,0
48000,경남,202305,1,89.3720748829953,0
50000,제주,202305,1,77.55555555555556,0
A1000,전국,202305,1,84.77777777777776,0
A2000,수도권,202305,1,83.9081805937811,0
A2001,지방권,202305,1,85.56254293716641,0
A3000,6대광역시,202305,1,81.81638696939784,0
A5000,5대광역시,202305,1,81.23904881101376,0
A6000,8개도,202305,1,88.3626394403479,0
A9000,9개도,202305,1,86.54695173371695,0
11000,서울,202305,3,81.14270386266095,0
11A01,강북지역,202305,3,82.20035778175313,1
11A02,강남지역,202305,3,79.55764075067025,1
11A11,도심권,202305,3,82.25108225108225,2
11A12,동북권,202305,3,83.39882121807466,2
11A13,서북권,202305,3,80.55555555555556,2
