region_cd,region_nm,research_date,tr_gbn,indices,level_no
29200,광산구,20230731,S,95.0058696189043,1
30000,대전,20230731,S,89.5791827216906,0
30110,동구,20230731,S,93.63454391055,1
30140,중구,20230731,S,90.8912044039489,1
30170,서구,20230731,S,87.8148168975545,1
30200,유성구,20230731,S,87.2962935975687,1
30230,대덕구,20230731,S,94.3144292539284,1
31000,울산,20230731,S,91.223249661077,0
31110,중구,20230731,S,90.8743790325601,1
31140,남구,20230731,S,90.9069165412095,1
31170,동구,20230731,S,90.8521274532107,1
31200,북구,20230731,S,90.2628698316257,1
31710,울주군,20230731,S,93.4322029177542,1
36000,세종,20230731,S,75.9974866135458,0
41000,경기,20230731,S,91.345333124505,0
41110,수원시,20230731,S,90.0530224573627,2
41111,장안구,20230731,S,90.0354534544837,3
41113,권선구,20230731,S,92.6399917761727,3
41115,팔달구,20230731,S,92.7802426396525,3
41117,영통구,20230731,S,87.3461293838967,3
41130,성남시,20230731,S,92.838433159198,2
41131,수정구,20230731,S,89.9961826751729,3
41133,중원구,20230731,S,90.4019772476474,3
41135,분당구,20230731,S,94.1380285734604,3
41150,의정부시,20230731,S,87.1216219256381,2
41170,안양시,20230731,S,92.1000209613937,2
41171,만안구,20230731,S,93.1305461847846,3
41173,동안구,20230731,S,91.5832671676322,3
41190,부천시,20230731,S,92.8650857250462,2
41210,광명시,20230731,S,87.5612841503218,2
41220,평택시,20230731,S,102.498680928835,2
41250,동두천시,20230731,S,86.5852016312926,2
41270,안산시,20230731,S,90.7894525419765,2
41271,상록구,20230731,S,95.3719864542999,3
41273,단원구,20230731,S,87.4420733911984,3
41280,고양시,20230731,S,90.0721193740228,2
41281,덕양구,20230731,S,87.006590007364,3
41285,일산동구,20230731,S,95.6536327365745,3
41287,일산서구,20230731,S,90.0785403145462,3
41290,과천시,20230731,S,87.7901261361168,2
41310,구리시,20230731,S,92.404206394851,2
41360,남양주시,20230731,S,89.3060050781571,2
41370,오산시,20230731,S,92.9019326871055,2
41390,시흥시,20230731,S,90.6597323751701,2
41410,군포시,20230731,S,91.3040684058118,2
41430,의왕시,20230731,S,88.024268080317,2
41450,하남시,20230731,S,85.3228793603798,2
41460,용인시,20230731,S,91.6685063527477,2
41461,처인구,20230731,S,102.257102697704,3
41463,기흥구,20230731,S,90.6121302750263,3
41465,수지구,20230731,S,89.138291011968,3
41480,파주시,20230731,S,93.9481395684623,2
41500,이천시,20230731,S,107.807475811481,2
41550,안성시,20230731,S,104.129233191524,2
41570,김포시,20230731,S,88.6429538330013,2
41590,화성시,20230731,S,89.5457856559061,2
41610,광주시,20230731,S,90.9932438046061,2
41630,양주시,20230731,S,84.739033586071,2
41650,포천시,20230731,S,95.7847348805114,2
41670,여주시,20230731,S,99.6989286362123,2
41A01,서해안권,20230731,S,92.4235879912646,1
41A02,경부1권,20230731,S,91.7656977742132,1
41A03,경부2권,20230731,S,91.7424187504386,1
41A04,경의권,20230731,S,90.4786812595814,1
41A05,경원권,20230731,S,87.0931368554895,1
41A06,동부1권,20230731,S,89.2077440612699,1
41A07,동부2권,20230731,S,105.438523382018,1
42000,강원,20230731,S,102.06371532992,0
42110,춘천시,20230731,S,99.3793116736253,1
42130,원주시,20230731,S,97.9503889220826,1
42150,강릉시,20230731,S,109.016477895239,1
42170,동해시,20230731,S,103.935985451351,1
42190,태백시,20230731,S,100.106946126159,1
42210,속초시,20230731,S,113.578123436879,1
42230,삼척시,20230731,S,100.636443183996,1
43000,충북,20230731,S,100.481649606112,0
43110,청주시,20230731,S,97.5038664093857,1
43111,상당구,20230731,S,97.4660785921802,2
43112,서원구,20230731,S,98.2298972037625,2
43113,흥덕구,20230731,S,97.3722100883844,2
43114,청원구,20230731,S,97.0392618333298,2
43130,충주시,20230731,S,105.454874109949,1
43150,제천시,20230731,S,113.417596205903,1
43770,음성군,20230731,S,102.562742729673,1
44000,충남,20230731,S,98.9580874892254,0
44130,천안시,20230731,S,98.7367044814738,1
44131,동남구,20230731,S,101.027453472396,2
44133,서북구,20230731,S,97.4958346835458,2
44150,공주시,20230731,S,99.1536732498397,1
44180,보령시,20230731,S,108.984886261207,1
44200,아산시,20230731,S,99.3715692885627,1
44210,서산시,20230731,S,101.009825665215,1
44230,논산시,20230731,S,103.14795726409,1
44250,계룡시,20230731,S,86.4500030903889,1
44270,당진시,20230731,S,97.4137495882911,1
44800,홍성군,20230731,S,92.74466202078,1
44810,예산군,20230731,S,100.416053427362,1
45000,전북,20230731,S,100.92622440282,0
45110,전주시,20230731,S,101.972908231256,1
45111,완산구,20230731,S,102.278846776518,2
45113,덕진구,20230731,S,101.64700407886,2
45130,군산시,20230731,S,101.062478021863,1
45140,익산시,20230731,S,97.0405173872401,1
45180,정읍시,20230731,S,102.862593934544,1
45190,남원시,20230731,S,102.049342966174,1
45210,김제시,20230731,S,103.706601690487,1
46000,전남,20230731,S,92.933819231136,0
46110,목포시,20230731,S,96.0857104469414,1
46130,여수시,20230731,S,90.0094593683681,1
46150,순천시,20230731,S,92.3331676523295,1
46170,나주시,20230731,S,95.6932273144807,1
46230,광양시,20230731,S,90.7045017593087,1
46840,무안군,20230731,S,97.8578179973733,1
47000,경북,20230731,S,98.0430686236995,0
47110,포항시,20230731,S,96.8979279278435,1
47111,남구,20230731,S,97.8960737807954,2
47113,북구,20230731,S,96.291904340641,2
47130,경주시,20230731,S,98.0383925183488,1
47150,김천시,20230731,S,105.030828525074,1
47170,안동시,20230731,S,108.276744709972,1
47190,구미시,20230731,S,96.8086257940556,1
47210,영주시,20230731,S,105.645272157168,1
47230,영천시,20230731,S,99.6775834062866,1
47250,상주시,20230731,S,99.8108337468871,1
47280,문경시,20230731,S,104.441497273847,1
47290,경산시,20230731,S,90.2501116761598,1
47850,칠곡군,20230731,S,103.295534384703,1
48000,경남,20230731,S,95.7680899591352,0
48120,창원시,20230731,S,97.7568078239811,1
48121,의창구,20230731,S,94.4588772077194,2
48123,성산구,20230731,S,97.7129398325273,2
48125,마산합포구,20230731,S,104.503731484853,2
48127,마산회원구,20230731,S,97.9096221895187,2
48129,진해구,20230731,S,94.596307747784,2
48170,진주시,20230731,S,99.327696124646,1
48220,통영시,20230731,S,98.0334572022609,1
48240,사천시,20230731,S,100.089488073521,1
48250,김해시,20230731,S,92.6067486068463,1
48270,밀양시,20230731,S,104.305904237122,1
48310,거제시,20230731,S,90.2087621544957,1
48330,양산시,20230731,S,93.9589294275355,1
50000,제주,20230731,S,102.982162047453,0
50110,제주시,20230731,S,103.443290329611,1
50130,서귀포시,20230731,S,101.652838857104,1
A1000,전국,20230731,S,92.7716169699276,0
A2000,수도권,20230731,S,91.9112742104442,0
A2001,지방권,20230731,S,93.5980348765339,0
A3000,6대광역시,20230731,S,89.6224721479225,0
A5000,5대광역시,20230731,S,89.1732166433669,0
A6000,8개도,20230731,S,98.2473487633108,0
A9000,9개도,20230731,S,94.7318133530667,0
11000,서울,20230724,D,83.930017728659,0
11110,종로구,20230724,D,86.5106881825116,3
11140,중구,20230724,D,84.4562343569609,3
11170,용산구,20230724,D,84.092675339594,3
11200,성동구,20230724,D,84.944261443325,3
11215,광진구,20230724,D,84.1477058143569,3
11230,동대문구,20230724,D,85.8627015892542,3
11260,중랑구,20230724,D,86.4204817903893,3
11290,성북구,20230724,D,81.1754967626035,3
11305,강북구,20230724,D,81.7275044978097,3
11320,도봉구,20230724,D,83.3057263722949,3
11350,노원구,20230724,D,83.5358789609891,3
11380,은평구,20230724,D,84.325151266267,3
11410,서대문구,20230724,D,83.2116629369529,3
11440,마포구,20230724,D,87.2099157923064,3
11470,양천구,20230724,D,81.5570632585265,3
11500,강서구,20230724,D,81.4425346666608,3
11530,구로구,20230724,D,84.3661376421494,3
11545,금천구,20230724,D,80.7154819045644,3
11560,영등포구,20230724,D,85.9065755513749,3
11590,동작구,20230724,D,83.5722920807984,3
11620,관악구,20230724,D,81.792093843112,3
11650,서초구,20230724,D,84.6908552375141,3
11680,강남구,20230724,D,83.0619556585371,3
11710,송파구,20230724,D,84.8920832734821,3
11740,강동구,20230724,D,85.9838907766558,3
11A01,강북지역,20230724,D,84.1930498814214,1
11A02,강남지역,20230724,D,83.6980534297283,1
11A11,도심권,20230724,D,84.710815540589,2
11A12,동북권,20230724,D,83.8358629262808,2
11A13,서북권,20230724,D,85.0656359285502,2
11A14,서남권,20230724,D,82.932189445462,2
11A15,동남권,20230724,D,84.5703242658882,2
26000,부산,20230724,D,87.0717016010011,0
26110,중구,20230724,D,98.6344394504433,2
26140,서구,20230724,D,92.9391443352306,2
26170,동구,20230724,D,91.0489274397699,2
26200,영도구,20230724,D,92.8475333406829,2
26230,부산진구,20230724,D,86.3469397367273,2
26260,동래구,20230724,D,83.7143337068961,2
26290,남구,20230724,D,83.4065744005718,2
26320,북구,20230724,D,88.4234202663801,2
26350,해운대구,20230724,D,82.4671203135416,2
26380,사하구,20230724,D,95.9730615994075,2
26410,금정구,20230724,D,86.6702286265874,2
26440,강서구,20230724,D,88.0067970656712,2
26470,연제구,20230724,D,81.9319725950137,2
26500,수영구,20230724,D,84.5403944175587,2
26530,사상구,20230724,D,93.2034929938579,2
26710,기장군,20230724,D,87.4008412723787,2
26A01,동부산권,20230724,D,84.2511092857339,1
26A02,중부산권,20230724,D,85.9211116951894,1
26A03,서부산권,20230724,D,91.8623923813705,1
27000,대구,20230724,D,75.8620469348691,0
27110,중구,20230724,D,73.6157879641545,1
27140,동구,20230724,D,77.0907782156844,1
27170,서구,20230724,D,78.5940566467012,1
27200,남구,20230724,D,81.8398807219039,1
27230,북구,20230724,D,84.0129351721582,1
27260,수성구,20230724,D,76.3729330061325,1
27290,달서구,20230724,D,68.3356063031624,1
27710,달성군,20230724,D,76.6203612146841,1
28000,인천,20230724,D,81.362081650192,0
28110,중구,20230724,D,75.9538506240979,1
28140,동구,20230724,D,92.2403017762601,1
28177,미추홀구,20230724,D,87.1048243482333,1
28185,연수구,20230724,D,78.0419046739676,1
28200,남동구,20230724,D,82.1148188873383,1
28237,부평구,20230724,D,81.2109435854083,1
