region_cd,region_nm,research_date,deal_obj,all_cnt,age01_cnt,age02_cnt,age04_cnt,age05_cnt,age06_cnt,age07_cnt
46910,신안군,202302,07,0,0,0,0,0,0,0
48310,거제시,202302,07,145,7,32,32,29,2,0
48820,고성군,202302,06,37,0,4,5,10,7,1
50110,제주시,202302,06,298,16,81,67,39,10,8
46110,목포시,202302,07,150,3,28,45,21,10,3
47290,경산시,202302,07,216,6,40,59,50,11,0
47820,청도군,202302,07,15,0,2,6,2,3,0
47930,울진군,202302,07,10,0,1,3,2,0,0
50110,제주시,202302,07,124,5,41,22,16,4,2
41280,고양시,202302,06,681,26,178,165,101,34,6
41460,용인시,202302,06,716,31,213,137,95,40,9
44130,천안시,202302,06,1072,54,272,267,149,51,16
47110,포항시,202302,06,571,25,133,149,99,35,6
41170,안양시,202302,06,307,10,97,67,44,15,11
41270,안산시,202302,06,537,32,116,125,81,18,46
43110,청주시,202302,06,1051,45,271,242,146,70,36
45110,전주시,202302,06,695,24,157,166,118,39,21
48120,창원시,202302,06,970,24,264,222,141,50,9
41110,수원시,202302,06,893,59,301,153,104,35,5
41130,성남시,202302,06,497,19,155,84,48,20,33
41280,고양시,202302,07,575,17,170,138,75,26,1
44130,천안시,202302,07,975,49,266,231,125,42,11
41460,용인시,202302,07,572,26,196,100,54,29,3
47110,포항시,202302,07,459,21,124,113,71,27,1
41170,안양시,202302,07,226,5,86,44,26,9,2
41270,안산시,202302,07,295,19,86,74,33,13,3
48120,창원시,202302,07,855,24,249,185,112,38,6
43112,서원구,202302,06,217,7,51,58,31,16,4
11230,동대문구,202302,06,147,11,54,27,9,5,0
11260,중랑구,202302,06,140,10,39,31,22,8,4
11350,노원구,202302,06,203,12,55,56,16,11,0
11110,종로구,202302,06,60,1,9,15,10,7,6
11470,양천구,202302,06,170,12,34,36,23,10,2
11740,강동구,202302,06,232,9,60,41,35,18,1
26110,중구,202302,06,22,0,1,7,7,3,2
26140,서구,202302,06,120,38,10,18,21,15,3
11545,금천구,202302,06,62,4,13,12,8,8,3
11590,동작구,202302,06,142,13,35,26,19,6,16
11650,서초구,202302,06,130,6,21,25,10,7,15
26710,기장군,202302,06,145,5,39,28,21,4,3
27170,서구,202302,06,81,6,17,22,17,10,2
26200,영도구,202302,06,62,1,10,18,12,4,1
26380,사하구,202302,06,222,7,43,61,35,14,4
26470,연제구,202302,06,157,5,63,27,18,9,1
26260,동래구,202302,06,179,6,49,32,25,9,2
27290,달서구,202302,06,414,14,123,79,77,20,5
28260,서구,202302,06,645,32,163,135,91,34,16
29000,광주,202302,06,1133,67,307,272,136,49,28
27710,달성군,202302,06,291,14,73,74,40,14,5
28000,인천,202302,06,2973,148,697,672,461,192,73
31110,중구,202302,06,186,9,63,33,27,6,3
31170,동구,202302,06,109,4,28,23,22,5,2
36000,세종,202302,06,702,35,216,126,71,36,4
29200,광산구,202302,06,324,19,97,74,29,7,9
30200,유성구,202302,06,321,11,92,65,45,11,12
30140,중구,202302,06,152,10,32,40,28,13,1
41115,팔달구,202302,06,81,8,19,23,11,5,0
41111,장안구,202302,06,138,9,25,30,22,7,1
41131,수정구,202302,06,157,7,39,19,20,7,33
41285,일산동구,202302,06,183,6,53,39,28,7,0
41450,하남시,202302,06,270,4,62,60,22,22,27
41461,처인구,202302,06,196,10,31,56,44,10,5
41465,수지구,202302,06,286,11,95,45,21,16,2
41290,과천시,202302,06,52,3,14,14,3,1,0
41360,남양주시,202302,06,455,17,99,92,86,35,4
51000,강원,202302,06,1463,62,237,390,285,108,61
51110,춘천시,202302,06,251,16,50,55,43,19,5
51730,횡성군,202302,06,47,1,6,12,11,6,2
51820,고성군,202302,06,28,0,5,9,7,0,2
43000,충북,202302,06,1882,85,389,460,334,137,60
51170,동해시,202302,06,92,2,18,21,19,10,3
51770,정선군,202302,06,32,0,4,14,5,1,2
51210,속초시,202302,06,87,3,14,21,11,5,8
43720,보은군,202302,06,27,2,4,7,9,0,2
44133,서북구,202302,06,767,38,216,177,98,27,8
43745,증평군,202302,06,48,1,7,14,12,1,1
44770,서천군,202302,06,34,1,3,9,9,7,1
44825,태안군,202302,06,66,2,6,19,23,6,3
45111,완산구,202302,06,309,14,55,78,58,23,8
45130,군산시,202302,06,247,10,37,58,55,14,7
44180,보령시,202302,06,91,4,12,23,19,13,1
44790,청양군,202302,06,9,0,2,2,4,0,0
44270,당진시,202302,06,144,2,26,35,35,18,7
44800,홍성군,202302,06,71,3,11,20,13,10,1
44210,서산시,202302,06,180,10,31,41,37,17,11
45750,임실군,202302,06,19,1,1,4,3,7,0
46110,목포시,202302,06,201,7,30,60,34,16,6
45730,무주군,202302,06,15,0,3,4,5,1,0
45740,장수군,202302,06,7,0,1,3,0,1,0
45710,완주군,202302,06,109,7,18,22,24,9,0
45790,고창군,202302,06,44,0,2,17,13,7,0
45190,남원시,202302,06,69,3,7,20,14,6,4
46870,영광군,202302,06,24,0,3,3,6,3,1
46880,장성군,202302,06,28,1,2,12,2,3,2
46890,완도군,202302,06,23,1,5,4,6,2,1
46800,장흥군,202302,06,27,3,1,8,6,5,0
46820,해남군,202302,06,50,1,7,15,11,6,0
46720,곡성군,202302,06,13,0,1,3,4,3,0
46780,보성군,202302,06,22,2,4,7,5,1,0
46810,강진군,202302,06,28,0,4,6,10,1,1
47130,경주시,202302,06,259,9,39,77,46,19,5
47720,군위군,202302,06,6,1,0,2,1,2,0
47770,영덕군,202302,06,19,2,5,4,5,0,0
47750,청송군,202302,06,17,0,2,9,0,1,1
47820,청도군,202302,06,43,0,6,9,14,6,2
47190,구미시,202302,06,504,18,136,136,64,24,12
47210,영주시,202302,06,147,2,25,32,29,17,5
48127,마산회원구,202302,06,156,5,36,44,26,10,0
48240,사천시,202302,06,110,6,23,28,19,4,0
