region_cd,region_nm,research_date,apt_type,rate,level_no
11000,서울,202305,0,5.215673556154582,0
11A14,서남권,202305,0,5.222662109645321,1
29000,광주,202305,0,5.991294638614436,0
11000,서울,202304,35,4.576103766525319,0
11A14,서남권,202304,35,4.735996532216259,1
44000,충남,202304,35,10.115213512769552,0
48000,경남,202304,35,7.7799277222594085,0
11620,관악구,202304,1,5.042136397984725,1
11710,송파구,202304,1,4.714285714285715,1
26350,해운대구,202304,1,5.070422535211268,1
26500,수영구,202304,1,5.379568876506307,1
26530,사상구,202304,1,5.249999999999999,1
26710,기장군,202304,1,5.01656173512928,1
27230,북구,202304,1,5.217391304347826,1
28110,중구,202304,1,6.531753470606794,1
30140,중구,202304,1,5.297977382351749,1
31140,남구,202304,1,5.030829243739776,1
41000,경기,202304,1,5.538461538461538,0
41115,팔달구,202304,1,5.32081570944302,2
41130,성남시,202304,1,4.8,1
41220,평택시,202304,1,6.857142857142858,1
41290,과천시,202304,1,4.387605347965387,1
41390,시흥시,202304,1,5.999999999999999,1
42000,강원,202304,1,6,0
42110,춘천시,202304,1,5.31087504225463,1
45000,전북,202304,1,6.0303565600264015,0
45140,익산시,202304,1,6.7349999999999985,1
48000,경남,202304,1,5.236322637238831,0
48129,진해구,202304,1,5.255474452554744,2
11A01,강북지역,202304,0,5.4937825515145855,1
11A12,동북권,202304,0,5.509844448817664,1
26000,부산,202304,0,6.138523425489983,0
36000,세종,202304,0,6.196764802201186,0
A8000,8개시도,202304,7,8.507765023632679,0
26000,부산,202304,7,7.485148514851485,0
48123,성산구,202303,1,4.6,2
48129,진해구,202303,1,5.208695652173909,2
48220,통영시,202303,1,6.857142857142858,1
11200,성동구,202303,1,5.189189189189189,1
11530,구로구,202303,1,4.634482758620689,1
11590,동작구,202303,1,4.640265128441669,1
26230,부산진구,202303,1,5.5833973866256725,1
26260,동래구,202303,1,4.8,1
26290,남구,202303,1,5.099999999999999,1
26410,금정구,202303,1,4.747193535206754,1
26710,기장군,202303,1,5.009635882637744,1
27170,서구,202303,1,5.025538374530138,1
28177,미추홀구,202303,1,5.714285714285714,1
30110,동구,202303,1,4.956521739130435,1
30170,서구,202303,1,4.88135593220339,1
41000,경기,202303,1,5.454545454545454,0
41111,장안구,202303,1,5.140977772128569,2
41113,권선구,202303,1,5.333333333333334,2
41115,팔달구,202303,1,5.538461538461538,2
41130,성남시,202303,1,4.8,1
41190,부천시,202303,1,4.971231300345224,1
41273,단원구,202303,1,5.454545454545455,2
41310,구리시,202303,1,5.096525096525097,1
45000,전북,202303,1,6.0340637473905705,0
11A11,도심권,202301,35,4.835210017287296,1
36000,세종,202301,35,6.7461739811612755,0
A8000,8개시도,202301,0,7.075927118585499,0
45000,전북,202301,0,7.535061329830569,0
50000,제주,202301,0,5.915536352156802,0
A2001,지방,202301,7,8.125021372636185,0
50000,제주,202301,7,6.294320913873111,0
A5000,5대광역시,202301,1,4.9700573754054815,0
11140,중구,202301,1,4.797795779954785,1
11260,중랑구,202301,1,4.567930173815078,1
11320,도봉구,202301,1,4.623066017382729,1
11350,노원구,202301,1,4.661924891210086,1
11590,동작구,202301,1,4.319410285870295,1
11650,서초구,202301,1,4.184384373434565,1
26200,영도구,202301,1,5.485714285714286,1
26260,동래구,202301,1,4.615384615384614,1
27230,북구,202301,1,4.823866222577696,1
41111,장안구,202301,1,4.8,2
41465,수지구,202301,1,4.7272727272727275,2
42000,강원,202301,1,5.64579810899094,0
47000,경북,202301,1,5.607476635514019,0
48125,마산합포구,202301,1,5.454545454545457,2
50110,제주시,202301,1,5.2264808362369335,1
11A01,강북지역,202303,0,5.430641426535364,1
26000,부산,202303,0,6.073822612959604,0
36000,세종,202303,0,6.034498050657702,0
11000,서울,202303,35,4.509477612867892,0
11A11,도심권,202303,35,5.168036167208976,1
26000,부산,202303,35,7.216090261593082,0
30000,대전,202303,35,7.698645736140632,0
A8000,8개시도,202303,7,8.65208358792619,0
11A12,동북권,202302,7,5.974462112221749,1
47000,경북,202302,7,9.238430652623943,0
11000,서울,202302,1,4.615384615384616,0
11A02,강남지역,202302,1,4.490898560639336,1
11A15,동남권,202302,1,4.373334751739195,1
11650,서초구,202302,1,4.226911984858301,1
26200,영도구,202302,1,5.333333333333334,1
26530,사상구,202302,1,5.082606360424029,1
27710,달성군,202302,1,5.37642759230378,1
28260,서구,202302,1,5.896595498766601,1
29000,광주,202302,1,5.200023587085752,0
29140,서구,202302,1,5.076923076923077,1
30000,대전,202302,1,4.956527270657815,0
31110,중구,202302,1,4.595744680851064,1
41281,덕양구,202302,1,5.182002208317998,2
41450,하남시,202302,1,4.860759493670886,1
41461,처인구,202302,1,5.974905135340249,2
41590,화성시,202302,1,5.599078341013826,1
42110,춘천시,202302,1,5.142857142857142,1
43130,충주시,202302,1,5.647058823529412,1
45113,덕진구,202302,1,5.443365239036158,2
47190,구미시,202302,1,6,1
48240,사천시,202302,1,5.611510791366906,1
A1000,전국,202302,35,5.498828064490735,0
