region_cd,region_nm,research_date,apt_type,size_gbn,tr_gbn,indices,level_no
41A06,동부1권,202306,1,11,R,100.37686065853254,1
41A07,동부2권,202306,1,11,R,105.67743888132429,1
42000,강원,202306,1,11,R,102.71419273987429,0
43000,충북,202306,1,11,R,108.96546006802733,0
44000,충남,202306,1,11,R,104.96119147826641,0
45000,전북,202306,1,11,R,103.32618178011622,0
46000,전남,202306,1,11,R,100.554547005555,0
47000,경북,202306,1,11,R,106.47780941327595,0
48000,경남,202306,1,11,R,105.07665185714195,0
50000,제주,202306,1,11,R,107.19879945589042,0
A1000,전국,202306,1,11,R,102.74059701828281,0
A2000,수도권,202306,1,11,R,102.1859308360737,0
A2001,지방권,202306,1,11,R,103.19203651794287,0
A3000,6대광역시,202306,1,11,R,101.40999461970256,0
A5000,5대광역시,202306,1,11,R,101.30757079079902,0
A6000,8개도,202306,1,11,R,104.85324070887849,0
A9000,9개도,202306,1,11,R,103.91185725937072,0
11000,서울,202306,1,11,S,90.22907015558775,0
11A01,강북지역,202306,1,11,S,88.19070726660648,1
11A02,강남지역,202306,1,11,S,92.72202864399033,1
11A11,도심권,202306,1,11,S,91.55382372115947,2
11A12,동북권,202306,1,11,S,87.73288021219072,2
11A13,서북권,202306,1,11,S,89.00177291454239,2
11A14,서남권,202306,1,11,S,91.04481286650478,2
11A15,동남권,202306,1,11,S,95.74663760097212,2
26000,부산,202306,1,11,S,91.85929102881627,0
26A01,동부산권,202306,1,11,S,90.21229244632204,1
26A02,중부산권,202306,1,11,S,89.86268702393689,1
26A03,서부산권,202306,1,11,S,95.44354565002082,1
27000,대구,202306,1,11,S,81.51424921505023,0
28000,인천,202306,1,11,S,93.10272041647235,0
29000,광주,202306,1,11,S,96.74974665309401,0
30000,대전,202306,1,11,S,92.52760785433715,0
31000,울산,202306,1,11,S,93.705451415077,0
36000,세종,202306,1,11,S,74.96914362360049,0
41000,경기,202306,1,11,S,91.98220988277191,0
41A01,서해안권,202306,1,11,S,94.60223984834005,1
41A02,경부1권,202306,1,11,S,90.15588733866117,1
41A03,경부2권,202306,1,11,S,90.42129927089238,1
41A04,경의권,202306,1,11,S,92.37226500971708,1
41A05,경원권,202306,1,11,S,87.41654416534915,1
41A06,동부1권,202306,1,11,S,90.26507260704815,1
41A07,동부2권,202306,1,11,S,106.52325931385003,1
42000,강원,202306,1,11,S,102.74436523129322,0
43000,충북,202306,1,11,S,103.58754531530869,0
44000,충남,202306,1,11,S,101.71398048885763,0
45000,전북,202306,1,11,S,102.76266521135695,0
46000,전남,202306,1,11,S,94.97971887406356,0
47000,경북,202306,1,11,S,100.28057325419348,0
48000,경남,202306,1,11,S,96.37910288221396,0
50000,제주,202306,1,11,S,107.33992358756046,0
A1000,전국,202306,1,11,S,93.84286610310481,0
A2000,수도권,202306,1,11,S,91.61388645242117,0
A2001,지방권,202306,1,11,S,95.68978668553783,0
A3000,6대광역시,202306,1,11,S,90.98425719507135,0
A5000,5대광역시,202306,1,11,S,90.38131731219748,0
A6000,8개도,202306,1,11,S,100.10475537239441,0
A9000,9개도,202306,1,11,S,96.4709971370328,0
