region_cd,region_nm,research_date,age_gbn,tr_gbn,indices,level_no
26A02,중부산권,20230731,12,S,89.4501544905794,1
A2001,지방권,20230731,12,S,89.5715152592505,0
44000,충남,20230731,12,S,94.0331591251988,0
43000,충북,20230731,12,S,91.4855300502834,0
A5000,5대광역시,20230731,13,D,82.6930535261483,0
A3000,6대광역시,20230731,13,D,81.4239952361197,0
A6000,8개도,20230731,13,D,95.3932647208663,0
A9000,9개도,20230731,13,D,88.588989055367,0
11A02,강남지역,20230731,13,D,86.7864649876334,1
11A01,강북지역,20230731,13,D,86.4777103069665,1
42000,강원,20230731,13,D,99.1327590025274,0
41000,경기,20230731,13,D,82.6400543597246,0
48000,경남,20230731,13,D,94.9274447082538,0
41A02,경부1권,20230731,13,D,86.4010302976875,1
41A03,경부2권,20230731,13,D,82.3622445743086,1
47000,경북,20230731,13,D,96.950778035841,0
41A05,경원권,20230731,13,D,72.8925735944008,1
41A04,경의권,20230731,13,D,83.540936915586,1
29000,광주,20230731,13,D,93.0970676796744,0
27000,대구,20230731,13,D,72.5653196226626,0
30000,대전,20230731,13,D,86.5275854946589,0
11A11,도심권,20230731,13,D,87.6091041403016,2
11A15,동남권,20230731,13,D,87.2049045546937,2
41A06,동부1권,20230731,13,D,81.0775343106703,1
41A07,동부2권,20230731,13,D,99.1840297186038,1
26A01,동부산권,20230731,13,D,82.8090499570529,1
11A12,동북권,20230731,13,D,85.8328250873656,2
26000,부산,20230731,13,D,83.4564470443589,0
11A14,서남권,20230731,13,D,85.6226821569755,2
26A03,서부산권,20230731,13,D,88.7248312009367,1
11A13,서북권,20230731,13,D,87.5514681696113,2
11000,서울,20230731,13,D,86.5655802842006,0
41A01,서해안권,20230731,13,D,83.1998470529681,1
36000,세종,20230731,13,D,72.4675019473869,0
A2000,수도권,20230731,13,D,82.9919719557602,0
31000,울산,20230731,13,D,89.1449876431531,0
28000,인천,20230731,13,D,76.7370518828687,0
A1000,전국,20230731,13,D,85.9721128331035,0
46000,전남,20230731,13,D,93.5958256804642,0
45000,전북,20230731,13,D,94.378387825322,0
50000,제주,20230731,13,D,107.307866827443,0
26A02,중부산권,20230731,13,D,81.0082025364156,1
A2001,지방권,20230731,13,D,89.0354626093743,0
44000,충남,20230731,13,D,92.166844790753,0
43000,충북,20230731,13,D,97.9611102444696,0
A5000,5대광역시,20230731,13,S,88.5590147671041,0
A3000,6대광역시,20230731,13,S,88.5083642254654,0
A6000,8개도,20230731,13,S,97.8135409207541,0
A9000,9개도,20230731,13,S,94.5209596973547,0
11A02,강남지역,20230731,13,S,97.811836061082,1
11A01,강북지역,20230731,13,S,91.809911197263,1
42000,강원,20230731,13,S,101.546888442577,0
41000,경기,20230731,13,S,91.5340020041682,0
48000,경남,20230731,13,S,96.3465445123082,0
41A02,경부1권,20230731,13,S,91.8351851472562,1
41A03,경부2권,20230731,13,S,91.6941759754809,1
47000,경북,20230731,13,S,97.2601416113821,0
41A05,경원권,20230731,13,S,85.0599523724613,1
41A04,경의권,20230731,13,S,93.0177674505908,1
29000,광주,20230731,13,S,96.5735947042305,0
27000,대구,20230731,13,S,80.3047790762014,0
30000,대전,20230731,13,S,90.0348187982088,0
11A11,도심권,20230731,13,S,93.0189325400608,2
11A15,동남권,20230731,13,S,100.717402537468,2
41A06,동부1권,20230731,13,S,90.856712897769,1
41A07,동부2권,20230731,13,S,106.027420506984,1
26A01,동부산권,20230731,13,S,90.1262221773391,1
11A12,동북권,20230731,13,S,91.5038429519469,2
26000,부산,20230731,13,S,90.3729347704349,0
11A14,서남권,20230731,13,S,92.8764196294093,2
26A03,서부산권,20230731,13,S,93.9272749486392,1
11A13,서북권,20230731,13,S,92.2941502551797,2
11000,서울,20230731,13,S,95.0595188691789,0
41A01,서해안권,20230731,13,S,92.024688737986,1
36000,세종,20230731,13,S,80.2380362346881,0
A2000,수도권,20230731,13,S,92.0709277469831,0
31000,울산,20230731,13,S,91.6116400273067,0
28000,인천,20230731,13,S,87.556786519899,0
A1000,전국,20230731,13,S,92.6634673379083,0
46000,전남,20230731,13,S,93.0644172304881,0
45000,전북,20230731,13,S,99.9395741532137,0
50000,제주,20230731,13,S,107.979255525439,0
26A02,중부산권,20230731,13,S,88.5322234730113,1
A2001,지방권,20230731,13,S,93.2255645231007,0
44000,충남,20230731,13,S,97.2104064704764,0
43000,충북,20230731,13,S,99.6672007351344,0
A5000,5대광역시,20230731,14,D,86.4461515525431,0
A3000,6대광역시,20230731,14,D,85.6367695157062,0
A6000,8개도,20230731,14,D,97.9546010587477,0
A9000,9개도,20230731,14,D,88.3541332960601,0
11A02,강남지역,20230731,14,D,86.3708291661608,1
11A01,강북지역,20230731,14,D,85.2352859757842,1
42000,강원,20230731,14,D,100.143451438236,0
41000,경기,20230731,14,D,81.9507255103814,0
48000,경남,20230731,14,D,96.6677996426214,0
41A02,경부1권,20230731,14,D,84.8379755527792,1
41A03,경부2권,20230731,14,D,80.0393017733094,1
47000,경북,20230731,14,D,99.9730846491703,0
41A05,경원권,20230731,14,D,76.9022215476243,1
41A04,경의권,20230731,14,D,82.4584203326728,1
29000,광주,20230731,14,D,96.1341027479576,0
27000,대구,20230731,14,D,79.5637857208592,0
30000,대전,20230731,14,D,87.4597177746013,0
11A11,도심권,20230731,14,D,84.8471297916512,2
11A15,동남권,20230731,14,D,91.5227983354509,2
41A06,동부1권,20230731,14,D,81.8839077789719,1
41A07,동부2권,20230731,14,D,101.882410228511,1
26A01,동부산권,20230731,14,D,84.5385596876694,1
11A12,동북권,20230731,14,D,85.0361215177447,2
26000,부산,20230731,14,D,85.5244470731315,0
11A14,서남권,20230731,14,D,83.3128880859687,2
26A03,서부산권,20230731,14,D,89.3255711518083,1
11A13,서북권,20230731,14,D,85.9004801905488,2
11000,서울,20230731,14,D,85.774959828397,0
41A01,서해안권,20230731,14,D,83.3708892782139,1
36000,세종,20230731,14,D,83.6048899943937,0
A2000,수도권,20230731,14,D,83.2924661878464,0
31000,울산,20230731,14,D,91.3839055302388,0
28000,인천,20230731,14,D,81.2718578653737,0
A1000,전국,20230731,14,D,87.1239066379282,0
46000,전남,20230731,14,D,95.1743689064477,0
45000,전북,20230731,14,D,98.6608297059658,0
50000,제주,20230731,14,D,104.418680355148,0
26A02,중부산권,20230731,14,D,84.5167668751632,1
A2001,지방권,20230731,14,D,92.2427957766732,0
44000,충남,20230731,14,D,96.7450780244319,0
43000,충북,20230731,14,D,98.8667458698,0
A5000,5대광역시,20230731,14,S,90.3084201222292,0
A3000,6대광역시,20230731,14,S,90.3014001351158,0
A6000,8개도,20230731,14,S,99.0772252302106,0
A9000,9개도,20230731,14,S,94.9113707062823,0
11A02,강남지역,20230731,14,S,95.3605578575905,1
11A01,강북지역,20230731,14,S,91.5953303741568,1
42000,강원,20230731,14,S,103.328225265572,0
41000,경기,20230731,14,S,91.9489835393395,0
48000,경남,20230731,14,S,96.0989360662022,0
41A02,경부1권,20230731,14,S,91.7808541207199,1
41A03,경부2권,20230731,14,S,92.4542109061079,1
47000,경북,20230731,14,S,100.856180746801,0
41A05,경원권,20230731,14,S,85.6073099198235,1
41A04,경의권,20230731,14,S,92.7822459386708,1
29000,광주,20230731,14,S,98.2428590049453,0
27000,대구,20230731,14,S,83.0682193115242,0
30000,대전,20230731,14,S,90.6205619199642,0
11A11,도심권,20230731,14,S,93.6564796782311,2
11A15,동남권,20230731,14,S,100.386408517209,2
41A06,동부1권,20230731,14,S,92.3101257538304,1
41A07,동부2권,20230731,14,S,106.326417744503,1
26A01,동부산권,20230731,14,S,91.6877113676946,1
11A12,동북권,20230731,14,S,91.229493028756,2
26000,부산,20230731,14,S,91.3363785504935,0
11A14,서남권,20230731,14,S,92.4805830042414,2
26A03,서부산권,20230731,14,S,94.9016864628123,1
11A13,서북권,20230731,14,S,91.8388396167146,2
11000,서울,20230731,14,S,93.5390431227328,0
41A01,서해안권,20230731,14,S,92.4374331341675,1
36000,세종,20230731,14,S,86.1498461048535,0
A2000,수도권,20230731,14,S,92.3948406405748,0
31000,울산,20230731,14,S,91.9314207785532,0
28000,인천,20230731,14,S,90.0664093405517,0
A1000,전국,20230731,14,S,93.4182119773545,0
46000,전남,20230731,14,S,91.8593615915056,0
45000,전북,20230731,14,S,102.573527070778,0
50000,제주,20230731,14,S,104.453674359593,0
26A02,중부산권,20230731,14,S,89.6482108887734,1
A2001,지방권,20230731,14,S,94.7564023363252,0
44000,충남,20230731,14,S,100.294938962964,0
43000,충북,20230731,14,S,101.568731875456,0
A5000,5대광역시,20230731,15,D,89.0012276216349,0
A3000,6대광역시,20230731,15,D,88.444204071157,0
A6000,8개도,20230731,15,D,101.304873996293,0
A9000,9개도,20230731,15,D,93.4043248759304,0
11A02,강남지역,20230731,15,D,81.3267803826493,1
11A01,강북지역,20230731,15,D,83.2422410040063,1
42000,강원,20230731,15,D,101.901080617935,0
41000,경기,20230731,15,D,84.936541708631,0
48000,경남,20230731,15,D,100.078803337096,0
41A02,경부1권,20230731,15,D,84.9043264572214,1
41A03,경부2권,20230731,15,D,82.6031518976158,1
47000,경북,20230731,15,D,101.293510410305,0
41A05,경원권,20230731,15,D,81.8824047155867,1
41A04,경의권,20230731,15,D,80.9086368915855,1
29000,광주,20230731,15,D,95.2892128085068,0
27000,대구,20230731,15,D,79.3551546734759,0
30000,대전,20230731,15,D,88.4607767359699,0
11A11,도심권,20230731,15,D,82.6878757468414,2
11A15,동남권,20230731,15,D,80.9903197417032,2
41A06,동부1권,20230731,15,D,84.3093091560928,1
41A07,동부2권,20230731,15,D,106.955019651272,1
26A01,동부산권,20230731,15,D,86.9730318339592,1
11A12,동북권,20230731,15,D,83.0631765095279,2
26000,부산,20230731,15,D,90.8104316610918,0
11A14,서남권,20230731,15,D,81.6482399176419,2
26A03,서부산권,20230731,15,D,95.6804581024449,1
11A13,서북권,20230731,15,D,84.4374059004616,2
11000,서울,20230731,15,D,82.2401835895231,0
41A01,서해안권,20230731,15,D,88.3161561339875,1
36000,세종,20230731,15,D,88.6727924937851,0
A2000,수도권,20230731,15,D,84.1607359703751,0
31000,울산,20230731,15,D,95.2683776536907,0
28000,인천,20230731,15,D,86.2866584780508,0
A1000,전국,20230731,15,D,89.9016249626169,0
46000,전남,20230731,15,D,96.1137387800181,0
45000,전북,20230731,15,D,102.079601316686,0
50000,제주,20230731,15,D,100.138075712104,0
26A02,중부산권,20230731,15,D,89.9030214973256,1
A2001,지방권,20230731,15,D,95.299496267601,0
44000,충남,20230731,15,D,102.431217028558,0
43000,충북,20230731,15,D,105.359273561919,0
A5000,5대광역시,20230731,15,S,91.1598503424244,0
A3000,6대광역시,20230731,15,S,91.7618095836853,0
A6000,8개도,20230731,15,S,101.338414033463,0
A9000,9개도,20230731,15,S,97.9021819152801,0
11A02,강남지역,20230731,15,S,95.3031291582547,1
11A01,강북지역,20230731,15,S,89.6054213755063,1
42000,강원,20230731,15,S,104.21451759634,0
41000,경기,20230731,15,S,94.0707600039624,0
48000,경남,20230731,15,S,97.7516341823811,0
41A02,경부1권,20230731,15,S,92.5059504293887,1
41A03,경부2권,20230731,15,S,92.3698821826874,1
47000,경북,20230731,15,S,100.315700950943,0
41A05,경원권,20230731,15,S,91.2736474031963,1
41A04,경의권,20230731,15,S,92.8584312336986,1
29000,광주,20230731,15,S,97.1792004333685,0
27000,대구,20230731,15,S,82.1289228539393,0
30000,대전,20230731,15,S,91.739780827108,0
11A11,도심권,20230731,15,S,94.5048213013673,2
11A15,동남권,20230731,15,S,98.4347688516169,2
41A06,동부1권,20230731,15,S,92.1275335792736,1
41A07,동부2권,20230731,15,S,108.373524015096,1
26A01,동부산권,20230731,15,S,90.4294630943184,1
11A12,동북권,20230731,15,S,88.9017974064863,2
26000,부산,20230731,15,S,92.9470681961482,0
11A14,서남권,20230731,15,S,92.8776142986669,2
26A03,서부산권,20230731,15,S,97.1477477255854,1
11A13,서북권,20230731,15,S,91.0021565146011,2
11000,서울,20230731,15,S,92.5778213372956,0
41A01,서해안권,20230731,15,S,97.4266402013234,1
36000,세종,20230731,15,S,84.9368911759764,0
A2000,수도권,20230731,15,S,93.5261623034826,0
31000,울산,20230731,15,S,95.089715132523,0
28000,인천,20230731,15,S,94.0462018643759,0
A1000,전국,20230731,15,S,95.0298392306079,0
46000,전남,20230731,15,S,94.0044531238867,0
45000,전북,20230731,15,S,104.111914517419,0
50000,제주,20230731,15,S,105.605919312631,0
26A02,중부산권,20230731,15,S,91.3982781745449,1
A2001,지방권,20230731,15,S,96.3804973523322,0
44000,충남,20230731,15,S,104.872307018579,0
43000,충북,20230731,15,S,105.839007617419,0
A5000,5대광역시,20230724,11,D,77.5370016234484,0
A3000,6대광역시,20230724,11,D,77.2128248443727,0
A6000,8개도,20230724,11,D,89.5105709311869,0
A9000,9개도,20230724,11,D,83.7892570917355,0
11A02,강남지역,20230724,11,D,85.7043814658223,1
11A01,강북지역,20230724,11,D,85.3746222174453,1
42000,강원,20230724,11,D,91.0303660901254,0
41000,경기,20230724,11,D,78.7700225800403,0
48000,경남,20230724,11,D,89.6352878783175,0
41A02,경부1권,20230724,11,D,81.2718772872368,1
41A03,경부2권,20230724,11,D,80.2588129774437,1
47000,경북,20230724,11,D,90.8803951095676,0
41A05,경원권,20230724,11,D,71.5413734931625,1
41A04,경의권,20230724,11,D,80.236230903808,1
29000,광주,20230724,11,D,82.1963898115384,0
27000,대구,20230724,11,D,68.5612111428828,0
30000,대전,20230724,11,D,85.4034346605176,0
11A11,도심권,20230724,11,D,89.1824976810769,2
11A15,동남권,20230724,11,D,87.6320716507609,2
41A06,동부1권,20230724,11,D,78.0263693519401,1
41A07,동부2권,20230724,11,D,96.391947512241,1
26A01,동부산권,20230724,11,D,78.1190681872803,1
11A12,동북권,20230724,11,D,85.5362805314314,2
26000,부산,20230724,11,D,80.5051630198831,0
11A14,서남권,20230724,11,D,83.0721019460112,2
26A03,서부산권,20230724,11,D,86.6789321556984,1
11A13,서북권,20230724,11,D,83.9383946453229,2
11000,서울,20230724,11,D,85.5094621057844,0
41A01,서해안권,20230724,11,D,78.1824275326557,1
36000,세종,20230724,11,D,72.2750660460129,0
A2000,수도권,20230724,11,D,79.5056939208777,0
31000,울산,20230724,11,D,76.1526842192103,0
28000,인천,20230724,11,D,75.7318765466378,0
A1000,전국,20230724,11,D,81.8171841560563,0
46000,전남,20230724,11,D,89.0368587073511,0
45000,전북,20230724,11,D,86.1463167722471,0
50000,제주,20230724,11,D,98.4882264788906,0
26A02,중부산권,20230724,11,D,78.5405329352913,1
A2001,지방권,20230724,11,D,83.8316675311613,0
44000,충남,20230724,11,D,85.7527185647942,0
43000,충북,20230724,11,D,91.2315870424468,0
A5000,5대광역시,20230724,11,S,83.6207981466775,0
A3000,6대광역시,20230724,11,S,84.5781206541132,0
A6000,8개도,20230724,11,S,92.5332072573973,0
A9000,9개도,20230724,11,S,88.9327339316426,0
11A02,강남지역,20230724,11,S,94.5353549177217,1
11A01,강북지역,20230724,11,S,89.7448492150796,1
42000,강원,20230724,11,S,97.18520911558,0
41000,경기,20230724,11,S,85.6813422706721,0
48000,경남,20230724,11,S,92.4001275605079,0
41A02,경부1권,20230724,11,S,85.812606973444,1
41A03,경부2권,20230724,11,S,90.2566094406154,1
47000,경북,20230724,11,S,92.2246796254894,0
41A05,경원권,20230724,11,S,81.0959575682366,1
41A04,경의권,20230724,11,S,84.8466233416417,1
29000,광주,20230724,11,S,88.7130163570113,0
27000,대구,20230724,11,S,76.4979980686942,0
30000,대전,20230724,11,S,84.5316436428833,0
11A11,도심권,20230724,11,S,93.6847341521962,2
11A15,동남권,20230724,11,S,97.3921222477542,2
41A06,동부1권,20230724,11,S,83.7079643700774,1
41A07,동부2권,20230724,11,S,98.1915405202286,1
26A01,동부산권,20230724,11,S,84.7719788238372,1
11A12,동북권,20230724,11,S,89.8555186914686,2
26000,부산,20230724,11,S,86.559065587518,0
11A14,서남권,20230724,11,S,90.8594383416289,2
26A03,서부산권,20230724,11,S,91.7850233781727,1
11A13,서북권,20230724,11,S,88.4592179656826,2
11000,서울,20230724,11,S,92.3905564336962,0
41A01,서해안권,20230724,11,S,85.5356549938102,1
36000,세종,20230724,11,S,75.4187921984126,0
A2000,수도권,20230724,11,S,87.0178121356752,0
31000,울산,20230724,11,S,83.507156264503,0
28000,인천,20230724,11,S,87.5603899756381,0
A1000,전국,20230724,11,S,87.5949966032189,0
46000,전남,20230724,11,S,92.747206478227,0
45000,전북,20230724,11,S,90.0184577860137,0
50000,제주,20230724,11,S,99.4546773937613,0
26A02,중부산권,20230724,11,S,84.7281636399231,1
A2001,지방권,20230724,11,S,88.0306333671637,0
44000,충남,20230724,11,S,92.2228355584481,0
43000,충북,20230724,11,S,90.1880780181896,0
A5000,5대광역시,20230724,12,D,80.6408370180601,0
A3000,6대광역시,20230724,12,D,79.6470807147579,0
A6000,8개도,20230724,12,D,91.2832180052018,0
A9000,9개도,20230724,12,D,87.256547138553,0
11A02,강남지역,20230724,12,D,86.142627061952,1
11A01,강북지역,20230724,12,D,85.2527736957885,1
42000,강원,20230724,12,D,92.5960225929438,0
41000,경기,20230724,12,D,83.5547003924184,0
48000,경남,20230724,12,D,92.2240570062287,0
