region_cd,region_nm,research_date,apt_type,contract_type,indices,level_no
11000,서울,202303,1,1,112.2826299278188,0
A1000,전국,202301,1,0,111.58207739051878,0
A1000,전국,202303,1,0,114.34907746487978,0
A1000,전국,202302,1,1,109.25478238881091,0
A2001,지방,202301,1,0,101.57658715181483,0
A2000,수도권,202302,1,1,110.31487210047267,0
A2000,수도권,202303,1,1,110.75841505906087,0
A1000,전국,202304,1,0,115.34910366275759,0
A1000,전국,202304,1,1,110.3237422927182,0
11000,서울,202304,1,1,113.23675470665503,0
A2001,지방,202305,1,0,104.31429518694384,0
A2001,지방,202302,1,1,109.12458188481052,0
A1000,전국,202303,1,1,109.45034732330527,0
A2001,지방,202303,1,0,103.18272881965123,0
A2001,지방,202304,1,0,103.83369914958347,0
A2000,수도권,202301,1,1,111.54100730451403,0
11000,서울,202302,1,0,146.69417990963242,0
11000,서울,202304,1,0,150.7969700344421,0
A2000,수도권,202301,1,0,128.9703671695912,0
A2000,수도권,202304,1,0,135.60138835580497,0
A2001,지방,202303,1,1,108.75308804876136,0
A1000,전국,202301,1,1,110.16495047217461,0
A1000,전국,202305,1,0,116.20444592210947,0
A2001,지방,202302,1,0,102.39166955504615,0
11000,서울,202301,1,0,142.8505937567778,0
11000,서울,202303,1,0,148.85255728932142,0
A2000,수도권,202303,1,0,134.10437215124088,0
A2000,수도권,202305,1,0,137.1063056773064,0
A1000,전국,202302,1,0,112.82016453562551,0
A2000,수도권,202304,1,1,112.06812624044468,0
11000,서울,202301,1,1,113.66198309734881,0
A2001,지방,202301,1,1,109.32612673477777,0
A2001,지방,202304,1,1,108.65028383883549,0
11000,서울,202305,1,0,153.53825528741496,0
A2000,수도권,202302,1,0,131.28787594113132,0
A2000,수도권,202303,1,0,143.71324926697295,0
A1000,전국,202302,1,0,126.63642913840796,0
A2001,지방,202301,1,1,113.57826037145287,0
A1000,전국,202301,1,1,115.31051963781195,0
A2000,수도권,202302,1,0,141.29009428348346,0
A2000,수도권,202305,1,0,147.21724733261314,0
A2001,지방,202302,1,0,111.953649559288,0
A2001,지방,202305,1,0,113.97948524718917,0
A2000,수도권,202302,1,1,114.25141903812265,0
11000,서울,202304,1,1,115.65618946906247,0
A2001,지방,202303,1,0,112.94750362464202,0
A2001,지방,202304,1,0,113.62646664004062,0
A2001,지방,202302,1,1,111.49489588726796,0
A2001,지방,202304,1,1,111.43610685310318,0
11000,서울,202304,1,0,159.8854713203777,0
A2000,수도권,202304,1,0,145.01821978166075,0
A1000,전국,202301,1,0,125.1361299005864,0
A1000,전국,202304,1,0,129.35401023941182,0
A2001,지방,202301,1,0,111.00876278986436,0
11000,서울,202301,1,1,118.40546013084187,0
A1000,전국,202305,1,0,130.61327019097175,0
11000,서울,202305,1,0,159.10884854151382,0
A2000,수도권,202304,1,1,115.42906119913785,0
11000,서울,202302,1,0,152.52607848218202,0
A1000,전국,202302,1,1,113.40693760709397,0
A1000,전국,202303,1,1,113.36459613138786,0
A1000,전국,202304,1,1,114.31396456655925,0
11000,서울,202302,1,1,114.94373678399826,0
A2000,수도권,202301,1,1,116.10895579568668,0
A2000,수도권,202303,1,1,114.57497010313297,0
11000,서울,202303,1,0,156.62932275267056,0
11000,서울,202303,1,1,115.21698869148311,0
A2000,수도권,202301,1,0,138.9491923945098,0
A1000,전국,202303,1,0,128.1561216737996,0
A2001,지방,202303,1,1,110.14918449064864,0
11000,서울,202301,1,0,149.66897607890112,0
11000,서울,202305,1,0,162.7448892367649,0
A1000,전국,202301,1,1,123.19670303409,0
A1000,전국,202303,1,0,137.22290876786306,0
A2001,지방,202302,1,1,110.4022722179508,0
A2000,수도권,202304,1,1,121.7027494263553,0
11000,서울,202301,1,0,152.1842515098289,0
11000,서울,202302,1,0,156.0189126669424,0
11000,서울,202304,1,0,162.20314369786692,0
11000,서울,202302,1,1,121.53319022242772,0
