region_cd,region_nm,research_date,deal_obj,all_area,age01_area,age02_area,age04_area,age05_area,age06_area,age07_area
48123,성산구,202306,06,26093.3031,887.0694,8943.9453,5149.8958,2913.5355,484.4378,134.765
48840,남해군,202306,06,3653.5162,228.46,203.78,1859.57,456.08,357.5378,109.62
41480,파주시,202306,06,38299.4394,1421.0121,7085.9399,8513.8848,6400.9829,1679.8258,2360.061
41650,포천시,202306,06,11147.1068,322.5483,864.3062,3865.6127,2721.1667,873.302,376.032
41450,하남시,202306,06,25275.5658,514.2795,5510.8332,5397.5466,4568.3408,2003.4944,1198.65
41410,군포시,202306,06,17027.409,1253.545,4850.0813,4211.8924,1574.962,830.68,0
44760,부여군,202306,06,3693.2029,46.68,509.3041,882.05,922.3819,476.56,0
44230,논산시,202306,06,8048.7478,74.65,1330.32,2587.3472,1294.6568,970.0275,301.1688
28237,부평구,202306,06,38849.6918,1544.2668,9511.5655,8680.7881,7089.8351,2233.8447,774.92
51770,정선군,202306,06,2740.9109,0,208.36,916.1903,1000.2794,48.6,0
51110,춘천시,202306,06,31367.9851,1210.8172,6407.6978,7482.0367,5458.1426,2371.956,429.69
51210,속초시,202306,06,7773.5904,293.0026,1090.9586,1493.928,1869.8156,971.7948,238.3466
11290,성북구,202306,06,20514.6925,691.83,6898.0495,3469.0018,2848.3876,1052.035,833.66
11560,영등포구,202306,06,21685.4951,686.312,5831.5697,4130.1566,1784.492,745.972,3095.56
26170,동구,202306,06,5078.4628,68.16,865.7145,1217.3442,909.3151,328.82,274.65
41000,경기,202306,06,1087157.23661,42044.5615,271215.0099,249926.49916,155444.3107,57350.8227,29435.0811
43130,충주시,202306,06,28910.0692,1256.7567,3663.3629,8309.6787,6652.3971,1640.549,636.9768
45180,정읍시,202306,06,8909.1725,629.9924,1843.2891,2389.6388,1583.288,456.327,0
46000,전남,202306,06,148452.6884,5557.8172,25729.3751,37831.4459,29609.0301,8984.3036,10559.7518
47280,문경시,202306,06,5488.4523,134.6766,602.3346,985.362,1831.7005,197.348,0
30140,중구,202306,06,16488.4739,306.3166,2763.3018,3291.3782,2986.0956,2182.4783,1082.5755
31710,울주군,202306,06,19468.2091,297.4022,3043.9959,3863.5209,2960.5224,1382.4899,3121.5016
26350,해운대구,202306,06,29500.8028,1220.0626,7806.1473,5431.8267,4604.5731,1478.0811,1068.48
26320,북구,202306,06,18054.2662,602.8613,4507.9357,5367.7864,2669.3122,700.9241,208.324
47920,봉화군,202306,06,2146.4697,106.405,458.62,436.979,619.3671,149,0
48330,양산시,202306,06,30330.5205,1446.9355,7051.7696,6643.8497,3313.4731,1271.7567,3641.5806
43000,충북,202306,06,175553.8776,7613.8471,31672.42,47463.8811,32404.565,9181.4799,7994.9382
41360,남양주시,202306,06,49959.7541,1785.8669,13281.865,10907.3943,6504.1561,3187.6373,988.3751
45113,덕진구,202306,06,38562.2222,1263.5501,11045.6958,8052.189,5619.2826,1397.0359,479.1446
28110,중구,202306,06,20522.5912,1589.8725,5378.9881,4884.8408,2794.3226,1155.807,98.41
51000,강원,202306,06,163921.8198,4741.0749,24807.9783,42662.0678,36446.9109,12833.7816,4480.4053
48890,합천군,202306,06,2386.4441,0,372.707,624.737,616.942,59.4,0
11470,양천구,202306,06,19781.1313,818.275,5268.6086,3514.2929,1728.549,665.949,589.89
11620,관악구,202306,06,31450.3276,439.83,4543.496,3913.8343,2616.7533,1804.233,10586.816
41131,수정구,202306,06,12411.7983,369.01,2723.036,4163.5552,1310.0301,504.2198,749.925
43760,괴산군,202306,06,2708.8394,0,492.28,750.6867,535.995,312.91,77.39
45710,완주군,202306,06,10709.0065,156.6099,1773.5276,2654.7067,2296.7439,575.0868,510.9806
47130,경주시,202306,06,25277.7983,734.7948,4142.6648,7174.2975,3746.2278,1571.1419,936.4716
46890,완도군,202306,06,1773.1892,196.87,335.3342,251.71,395.415,68.34,59.76
